model,feature,importance,importance_norm
logistic_regression,listen_decay_7d,0.3249865343966119,0.012013875343818986
logistic_regression,spend_per_sec,0.3239676857477042,0.011976211258182571
logistic_regression,listen_events_total,0.31790527991698586,0.01175210047134915
logistic_regression,recent_transaction_30d,0.3005908222781965,0.011112031687870292
logistic_regression,listen_decay_14d,0.2776767574903347,0.01026496053616034
logistic_regression,recent_usage_30d,0.24559832864652878,0.009079107571296484
logistic_regression,days_since_last_log,0.22978720055037033,0.00849461282493698
logistic_regression,active_days,0.2185217202209131,0.008078158412086837
logistic_regression,gender_missing,0.2097339274362498,0.0077532974228207
logistic_regression,member_age_days,0.2097339274362498,0.0077532974228207
logistic_regression,gender_clean,0.1924871086980421,0.007115729067002604
logistic_regression,listen_decay_90d,0.1838945305426931,0.006798084635881643
logistic_regression,registration_init_time_missing,0.1833976662049029,0.006779716901882805
logistic_regression,recent_transaction_flag,0.18211155575998084,0.0067321728687358175
logistic_regression,total_985,0.16916062021434472,0.0062534117240010505
logistic_regression,trans_count,0.15491555531055068,0.005726810108532467
logistic_regression,registration_month,0.15029221936067177,0.005555897852498325
logistic_regression,mean_unq,0.1382259239466612,0.00510983946661854
logistic_regression,secs_decay_30d,0.12264026879244214,0.00453367984658325
logistic_regression,age_band,0.10380460445789588,0.00383737615586758
logistic_regression,last_expire_date_missing,0.10181696790930547,0.0037638985954267477
logistic_regression,last_transaction_date_missing,0.10181696790930547,0.0037638985954267477
logistic_regression,listen_decay_30d,0.09975195695906734,0.0036875607121176946
logistic_regression,mean_discount_amount,0.0876679246706776,0.003240846641847245
logistic_regression,last_log_date_missing,0.08704300836340076,0.003217745172028248
logistic_regression,listen_completion_share,0.07729051623483488,0.00285722185083372
logistic_regression,total_50,0.0770430730156816,0.002848074542638012
logistic_regression,recent_activity_gap,0.06854898482038434,0.0025340710196084452
logistic_regression,total_25,0.06617043384760184,0.002446142407615387
logistic_regression,mean_spend,0.06302653268734819,0.002329920864151434
logistic_regression,total_secs_log1p,0.06041701179644087,0.0022334539174557536
logistic_regression,spend_per_transaction,0.060052368078048035,0.0022199740230170136
logistic_regression,trans_per_active_day,0.05906943549962073,0.002183637657602585
logistic_regression,secs_per_active_day_z,0.05360004462583869,0.0019814490337377935
logistic_regression,trans_count_decay_90d,0.05229854249161074,0.0019333360113648517
logistic_regression,recent_usage_flag,0.05198199908311039,0.001921634255605366
logistic_regression,completion_rate,0.050486946725483595,0.0018663662036832794
logistic_regression,transactions_per_member_day,0.04786941492774023,0.0017696031153757689
logistic_regression,retention_rate_from_transactions,0.04731808302929753,0.0017492218626162983
logistic_regression,days_since_last_transaction,0.04287706173628137,0.001585049287550683
logistic_regression,mean_secs,0.03935010006858937,0.0014546670306465601
logistic_regression,recent_usage_7d,0.03932772744135736,0.0014538399749804596
logistic_regression,total_secs,0.03495071715827868,0.0012920337142467554
logistic_regression,spend_per_active_day,0.03328843347324991,0.0012305835713505952
logistic_regression,max_spend,0.03185333043569203,0.0011775316840446574
logistic_regression,secs_per_active_day,0.030304177562171124,0.0011202636820163456
logistic_regression,trans_count_decay_7d,0.029694453797983394,0.0010977238395249768
logistic_regression,secs_decay_90d,0.029467126180821125,0.001089320150861797
logistic_regression,usage_to_spend_ratio,0.02888618593781539,0.0010678443574888897
logistic_regression,mean_plan_days,0.02774438846561701,0.0010256351855785905
logistic_regression,secs_decay_7d,0.02643038818390982,0.00097706014041408
logistic_regression,registered_via_missing,0.025771896306584708,0.0009527174723592656
logistic_regression,mean_completion_rate,0.017025311383254544,0.000629379826545376
logistic_regression,events_per_active_day,0.011929586783083994,0.0004410046366423723
logistic_regression,total_75,0.011770361607551343,0.0004351185115018381
logistic_regression,profile_completeness,0.009737814942582752,0.000359980745228645
logistic_regression,bd_clean,0.008172538971616026,0.0003021167157888285
logistic_regression,listen_unique_share,0.007352922356291634,0.0002718177008942202
logistic_regression,total_100,0.005239421778720311,0.00019368728689053152
logistic_regression,secs_decay_14d,0.0027223299749312884,0.00010063719416648955
logistic_regression,bd_missing,0.0,0.0
logistic_regression,recent_usage_value_interaction,0.0,0.0
random_forest,auto_renew_rate,0.1827341971960742,0.1827341971960742
random_forest,trans_count_decay_90d,0.04711292060411359,0.04711292060411359
random_forest,trans_count_decay_30d,0.0470252432387377,0.0470252432387377
random_forest,mean_plan_price,0.046460607312186326,0.046460607312186326
random_forest,trans_count_decay_14d,0.04328573843397249,0.04328573843397249
random_forest,max_spend,0.03885578899826657,0.03885578899826657
random_forest,trans_count_decay_7d,0.03683665081835742,0.03683665081835742
random_forest,days_since_last_transaction,0.032129128824146744,0.032129128824146744
random_forest,spend_per_transaction,0.031108169092061735,0.031108169092061735
random_forest,mean_spend,0.029923634585970756,0.029923634585970756
random_forest,trans_count,0.029755124399147355,0.029755124399147355
random_forest,total_spend,0.029271823831797394,0.029271823831797394
random_forest,retention_rate_from_transactions,0.025923239916026,0.025923239916026
random_forest,cancel_rate,0.025657956063469146,0.025657956063469146
